Well,BUL2_g_exp,FAS1_g_exp,MKT1_g_exp,NCS2_g_exp,PMA1_g_exp,RHO5_g_exp,SCH9_g_exp,WHI2_g_exp,AKL1_g_exp,RPI1_g_exp
1A-A3,0,0,0,0,0,0,0,0,0,0
1A-A4,0,0,0,0,0,0,0,1,0,0
1A-A5,0,0,0,0,0,0,1,0,0,0
1A-A6,0,0,0,0,0,0,1,1,0,0
1A-A7,0,0,0,0,0,1,0,0,0,0
1A-A8,0,0,0,0,0,1,2,1,0,0
1A-A9,0,0,0,0,0,1,1,0,0,0
1A-A10,0,0,0,0,0,1,1,1,0,0
1A-B3,0,0,1,0,0,0,0,0,0,0
1A-B4,0,0,1,0,0,0,0,1,0,0
1A-B5,0,0,1,0,0,0,1,0,0,0
1A-B6,0,0,1,0,0,0,1,1,0,0
1A-B7,0,0,1,0,0,1,0,0,0,0
1A-B8,0,0,1,2,0,1,0,1,0,0
1A-B9,0,0,1,0,0,1,1,0,0,0
1A-B10,0,0,1,0,0,1,1,1,0,0
1A-C3,1,0,0,0,0,0,0,0,0,0
1A-C4,1,0,0,0,0,0,0,1,0,0
1A-C5,1,0,0,0,0,0,1,0,0,0
1A-C6,1,0,0,0,0,0,1,1,0,0
1A-C7,1,0,0,0,0,1,0,0,0,0
1A-C8,1,0,0,2,0,1,0,1,0,0
1A-C9,1,0,0,0,0,1,1,0,0,0
1A-C10,1,0,0,0,0,1,1,1,0,0
1A-D3,1,0,1,0,0,0,0,0,0,0
1A-D4,1,0,1,0,0,0,0,1,0,0
1A-D5,1,0,1,0,0,0,1,0,0,0
1A-D6,1,0,1,0,0,0,1,1,0,0
1A-D7,1,0,1,0,0,1,0,0,0,0
1A-D8,1,0,1,2,0,1,0,1,0,0
1A-D9,1,0,1,0,0,1,1,0,0,0
1A-D10,1,0,1,0,0,1,1,1,0,0
1A-E3,0,1,0,0,0,0,0,0,0,0
1A-E4,0,1,0,0,0,0,0,1,0,0
1A-E5,0,1,0,0,0,0,1,0,0,0
