,Well,BUL2-totalreads,BUL2-WT%,BUL2-Mut%,BUL2-Other%,BUL2-na%,BUL2-maxcomplex,BUL2-maxcomplex%,FAS1-totalreads,FAS1-WT%,FAS1-Mut%,FAS1-Other%,FAS1-na%,FAS1-maxcomplex,FAS1-maxcomplex%,MKT1-totalreads,MKT1-WT%,MKT1-Mut%,MKT1-Other%,MKT1-na%,MKT1-maxcomplex,MKT1-maxcomplex%,NCS2-totalreads,NCS2-WT%,NCS2-Mut%,NCS2-Other%,NCS2-na%,NCS2-maxcomplex,NCS2-maxcomplex%,PMA1-totalreads,PMA1-WT%,PMA1-Mut%,PMA1-Other%,PMA1-na%,PMA1-maxcomplex,PMA1-maxcomplex%,RHO5-totalreads,RHO5-WT%,RHO5-Mut%,RHO5-Other%,RHO5-na%,RHO5-maxcomplex,RHO5-maxcomplex%,SCH9-totalreads,SCH9-WT%,SCH9-Mut%,SCH9-Other%,SCH9-na%,SCH9-maxcomplex,SCH9-maxcomplex%,WHI2-totalreads,WHI2-WT%,WHI2-Mut%,WHI2-Other%,WHI2-na%,WHI2-maxcomplex,WHI2-maxcomplex%,AKL1-totalreads,AKL1-WT%,AKL1-Mut%,AKL1-Other%,AKL1-na%,AKL1-maxcomplex,AKL1-maxcomplex%,RPI1-totalreads,RPI1-WT%,RPI1-Mut%,RPI1-Other%,RPI1-na%,RPI1-maxcomplex,RPI1-maxcomplex%,HSL7-totalreads,HSL7-WT%,HSL7-Mut%,HSL7-Other%,HSL7-na%,HSL7-maxcomplex,HSL7-maxcomplex%,SPT7-totalreads,SPT7-WT%,SPT7-Mut%,SPT7-Other%,SPT7-na%,SPT7-maxcomplex,SPT7-maxcomplex%,FRS1-totalreads,FRS1-WT%,FRS1-Mut%,FRS1-Other%,FRS1-na%,FRS1-maxcomplex,FRS1-maxcomplex%,BUL2_threshterm,FAS1_threshterm,MKT1_threshterm,NCS2_threshterm,PMA1_threshterm,RHO5_threshterm,SCH9_threshterm,WHI2_threshterm,AKL1_threshterm,RPI1_threshterm,HSL7_threshterm,SPT7_threshterm,FRS1_threshterm,BUL2_g,FAS1_g,MKT1_g,NCS2_g,PMA1_g,RHO5_g,SCH9_g,WHI2_g,AKL1_g,RPI1_g,HSL7_g,SPT7_g,FRS1_g,BUL2-singlelocus-totalreads,BUL2-singlelocus-WT%,BUL2-singlelocus-Mut%,BUL2-singlelocus-Other%,BUL2-singlelocus-na%,BUL2-singlelocus-maxcomplex,BUL2-singlelocus-maxcomplex%,HSL7-singlelocus-totalreads,HSL7-singlelocus-WT%,HSL7-singlelocus-Mut%,HSL7-singlelocus-Other%,HSL7-singlelocus-na%,HSL7-singlelocus-maxcomplex,HSL7-singlelocus-maxcomplex%,NCS2-singlelocus-totalreads,NCS2-singlelocus-WT%,NCS2-singlelocus-Mut%,NCS2-singlelocus-Other%,NCS2-singlelocus-na%,NCS2-singlelocus-maxcomplex,NCS2-singlelocus-maxcomplex%,PMA1-singlelocus-totalreads,PMA1-singlelocus-WT%,PMA1-singlelocus-Mut%,PMA1-singlelocus-Other%,PMA1-singlelocus-na%,PMA1-singlelocus-maxcomplex,PMA1-singlelocus-maxcomplex%,RPI1-singlelocus-totalreads,RPI1-singlelocus-WT%,RPI1-singlelocus-Mut%,RPI1-singlelocus-Other%,RPI1-singlelocus-na%,RPI1-singlelocus-maxcomplex,RPI1-singlelocus-maxcomplex%,BUL2-singlelocus_threshterm,HSL7-singlelocus_threshterm,NCS2-singlelocus_threshterm,PMA1-singlelocus_threshterm,RPI1-singlelocus_threshterm,BUL2-singlelocus_g,HSL7-singlelocus_g,NCS2-singlelocus_g,PMA1-singlelocus_g,RPI1-singlelocus_g,BUL2matches single?,HSL7matches single?,NCS2matches single?,PMA1matches single?,RPI1matches single?,BUL2_g-update,FAS1_g-update,MKT1_g-update,NCS2_g-update,PMA1_g-update,RHO5_g-update,SCH9_g-update,WHI2_g-update,AKL1_g-update,RPI1_g-update,HSL7_g-update,SPT7_g-update,FRS1_g-update,BUL2_g-update_bin,FAS1_g-update_bin,MKT1_g-update_bin,NCS2_g-update_bin,PMA1_g-update_bin,RHO5_g-update_bin,SCH9_g-update_bin,WHI2_g-update_bin,AKL1_g-update_bin,RPI1_g-update_bin,HSL7_g-update_bin,SPT7_g-update_bin,FRS1_g-update_bin,full_g_bin_13,full_g_bin_10,BUL2_g_exp,FAS1_g_exp,MKT1_g_exp,NCS2_g_exp,PMA1_g_exp,RHO5_g_exp,SCH9_g_exp,WHI2_g_exp,AKL1_g_exp,RPI1_g_exp,full_g_bin_10_exp,full_g_match?
0,8E-A3,169.0,0.984256817221328,0,0,0.01574318277867211,WT,0.984256817221328,2174.0,0.9762321526346168,0.00030790124298,0.003642096563266,0.019817849559136,WT,0.9762321526346168,2800.0,0.980155860521,0.0008658184527460001,0.0008325794133189999,0.018145741612936,WT,0.980155860521,1630.0,0.9761237765200491,0.0,0.004307498161957,0.019568725317995,WT,0.9761237765200491,1242.0,0.005249161373503999,0.977177918254317,0.001573405687232,0.015999514684946002,Mut,0.977177918254317,2753.0,0.9786824879140088,2.5767092788000003e-05,0.003707786227416,0.017583958765786997,WT,0.9786824879140088,5808.0,0.00020968215680999998,0.983779068162835,0.000928972396512,0.015082277283844,Mut,0.983779068162835,6059.0,0.9809786347418767,0,0,0.019021365258123167,WT,0.9809786347418767,2895.0,0.9773452928772951,0.0011106726711031852,0.0013761640957301697,0.020167870355871587,WT,0.9773452928772951,176.0,0.9911808351646021,0.008819164835396999,0,0.0,WT,0.9911808351646021,484.0,0.06024266394230283,0.90551572409747,0,0.03424161196022698,Mut,0.90551572409747,3441.0,0.9772076291604851,0.0,0.002463273115939,0.020329097723576998,WT,0.9772076291604851,3459.0,0.0,0.9871760034806651,0.00016265156473099999,0.012661344954603,Mut,0.9871760034806651,-7.28583859910259e-17,0.003949997806247177,0.0016983978660639887,0.004307498161955886,0.006822567060737007,0.0037335533202042005,0.0011386545533209978,9.020562075079397e-17,0.0024868367668333113,0.008819164835397908,0.06024266394230297,0.0024632731159379105,0.00016265156473185653,WT,WT,WT,WT,Mut,WT,Mut,WT,WT,WT,mixed,WT,Mut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,WT,WT,WT,Mut,WT,Mut,WT,WT,WT,mixed,WT,Mut,0,0,0,0,1,0,1,0,0,0,2,0,1,0000101000201,0000101000,0,0,0,0,1,0,1,0,0,0,0000101000,True
1,7E-A3,203.0,0.975876468515711,0,0,0.02412353148428916,WT,0.975876468515711,2618.0,0.962255592349801,0.000152643553874,0.003316167691649,0.034275596404677,WT,0.962255592349801,1652.0,0.9815370639621679,0.0011088933842849998,0.001796296234134,0.015557746419412998,WT,0.9815370639621679,2034.0,0.9733169885235781,0.0,0.0050056228854420005,0.02167738859098,WT,0.9733169885235781,1368.0,0.978146090322832,0.001290566207453,0.0006510110711000001,0.019912332398613997,WT,0.978146090322832,1992.0,0.9741477413203278,0.001294728617902,0.006533022119143,0.018024507942627,WT,0.9741477413203278,4149.0,0.00043906564221399995,0.9844158202708451,0.00085094480886,0.01429416927808,Mut,0.9844158202708451,5345.0,0.9883200171659801,0,0,0.011679982834021002,WT,0.9883200171659801,3231.0,0.978905419032544,0.0020599445199995393,0.0010901054937309095,0.01794453095372555,WT,0.978905419032544,737.0,0.9866543612181364,0.0005391949674277952,0,0.012806443814435813,WT,0.9866543612181364,735.0,0.02401844954410135,0.9531142616844888,0,0.022867288771409883,Mut,0.9531142616844888,2888.0,0.977735816132216,0.0007637410825944463,0.0037458106170789947,0.017754632168110556,WT,0.977735816132216,3594.0,0.7106831316177176,0.27351870949335905,0.0001713112752234559,0.01562684761369995,WT,0.7106831316177176,-1.3183898417423734e-16,0.0034688112455220424,0.0029051896184191135,0.005005622885441936,0.0019415772785540512,0.007827750737045225,0.0012900104510749338,-1.0599160438218291e-15,0.003150050013730428,0.000539194967427754,0.024018449544101355,0.004509551699673393,0.2736900207685825,WT,WT,WT,WT,WT,WT,Mut,WT,WT,WT,Mut,WT,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,WT,WT,WT,WT,WT,Mut,WT,WT,WT,Mut,WT,mixed,0,0,0,0,0,0,1,0,0,0,1,0,2,0000001000102,0000001000,0,0,0,0,0,0,1,0,0,0,0000001000,True
2,5E-A3,93.0,0.981049151201922,0,0,0.018950848798078,WT,0.981049151201922,1798.0,0.9808443072972628,0.000498917575879,0.004979210893561,0.013677564233296998,WT,0.9808443072972628,1746.0,0.987280155912705,0.001003764449849,0.000970525410422,0.010745554227023002,WT,0.987280155912705,1380.0,0.975237362251258,0.0,0.0027364916302070005,0.022026146118536,WT,0.975237362251258,993.0,0.9737689720209802,0.001845027223389,0.001982498440352,0.022403502315279,WT,0.9737689720209802,1724.0,0.9710501597958929,0.00044829982201699997,0.006186440640326001,0.022315099741764,WT,0.9710501597958929,4545.0,0.9780879156897562,0.0,0.001041674816448,0.020870409493796,WT,0.9780879156897562,4540.0,0.988657447150563,0,0,0.011342552849437,WT,0.988657447150563,2762.0,0.98079514835139,0.001965039383274,0.000244332678864,0.016995479586472,WT,0.98079514835139,649.0,0.9735159600592284,0.0009008400415547613,0,0.025583199899216924,WT,0.9735159600592284,439.0,0.057508426238008996,0.942491573761991,0,0.0,Mut,0.942491573761991,2188.0,0.985255350709299,0.0012042637150699999,0.0029948396544039997,0.010545545921226999,WT,0.985255350709299,1243.0,0.9984608827555992,0.0,0.0015391172444009999,0.0,WT,0.9984608827555992,-4.163336342344337e-17,0.005478128469440206,0.0019742898602719827,0.0027364916302059887,0.0038275256637407724,0.00663474046234307,0.0010416748164478289,-2.949029909160572e-17,0.002209372062137966,0.000900840041554718,0.057508426238009,0.004199103369473963,0.0015391172444008117,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,mixed,WT,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,mixed,WT,WT,0,0,0,0,0,0,0,0,0,0,2,0,0,0000000000200,0000000000,0,0,0,0,0,0,0,0,0,0,0000000000,True
3,4A-A3,157.0,0.984831257267185,0,0,0.015168742732815,WT,0.984831257267185,1702.0,0.9699828387898739,0.000561146089648,0.0007373005383239999,0.028718714582154,WT,0.9699828387898739,1573.0,0.979153439175853,0.001081923504783,0.001048684465356,0.018715952854008,WT,0.979153439175853,879.0,0.002868366504441,0.9805971094991569,0.001864042484466,0.014670481511936001,Mut,0.9805971094991569,836.0,0.0030713319798820003,0.9787916541328701,0.001130699384266,0.017006314502981,Mut,0.9787916541328701,1470.0,0.9616566768877779,0.0006471504667999999,0.011062701553379002,0.026633471092042997,WT,0.9616566768877779,4071.0,0.985312741913434,0.0,0.0014706265919239999,0.013216631494642,WT,0.985312741913434,3660.0,0.9788634548341699,0,0,0.021136545165831,WT,0.9788634548341699,2610.0,0.9808733566136613,0.0014108885895519007,0.0009121461586190842,0.016803608638167773,WT,0.9808733566136613,687.0,0.9902900256882559,0.0007334078130538307,0,0.008976566498690395,WT,0.9902900256882559,449.0,0.0,0.9521053709370991,0,0.047894629062902,Mut,0.9521053709370991,2147.0,0.98273911949375,0.001238964515554,0.0030989420558539997,0.012922973934841998,WT,0.98273911949375,2554.0,0.0,0.9906681632069008,0.00034108308358999994,0.008990753709508002,Mut,0.9906681632069008,-1.214306433183765e-17,0.0012984466279720962,0.0021306079701390417,0.004732408988907094,0.004202031364148942,0.011709852020179108,0.0014706265919240125,-9.228728892196614e-16,0.0023230347481709643,0.000733407813053746,-1.124100812432971e-15,0.004337906571407967,0.0003410830835912336,WT,WT,WT,Mut,Mut,WT,WT,WT,WT,WT,Mut,WT,Mut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,WT,WT,Mut,Mut,WT,WT,WT,WT,WT,Mut,WT,Mut,0,0,0,1,1,0,0,0,0,0,1,0,1,0001100000101,0001100000,0,0,0,1,1,0,0,0,0,0,0001100000,True
4,3A-A3,127.0,0.969789812566391,0,0,0.030210187433609,WT,0.969789812566391,2230.0,0.9730451001377414,0.0002854236508946244,0.0025910983695158845,0.024078377841848117,WT,0.9730451001377414,2427.0,0.9664767994487032,0.0011615114080239998,0.001128272368597,0.031233416774676004,WT,0.9664767994487032,1892.0,0.972280621989856,0.0,0.0024483548152200003,0.025271023194922995,WT,0.972280621989856,1279.0,0.0017682185786590003,0.977998926813793,0.000696328250525,0.019536526357024,Mut,0.977998926813793,2217.0,0.9628366548794299,0.00020009792319599997,0.003535042407466,0.033428204789908995,WT,0.9628366548794299,5131.0,0.9759307718459139,0.0,0.001339182393876,0.022730045760211003,WT,0.9759307718459139,5108.0,0.9872109416434419,0,0,0.012789058356558,WT,0.9872109416434419,461.0,0.9452189078908135,0.006900961714321243,0.011439957412452503,0.036440172982412665,WT,0.9452189078908135,812.0,0.9820342228114259,0.00029239270211206926,0,0.017673384486461927,WT,0.9820342228114259,579.0,0.08780745856821222,0.8865314102889645,0,0.025661131142823285,Mut,0.8865314102889645,3131.0,0.9822738704686634,1.9397138892474552e-05,0.0007149371852703443,0.01699179520717375,WT,0.9822738704686634,3546.0,0.0,0.988759805747045,0.00015028588249399997,0.011089908370461001,Mut,0.988759805747045,3.8163916471489756e-17,0.002876522020410513,0.0022897837766207574,0.002448354815221019,0.0024645468291830328,0.003735140330661073,0.0013391823938750727,7.979727989493313e-17,0.018340919126773804,0.00029239270211213475,0.08780745856821218,0.0007343343241628143,0.00015028588249397026,WT,WT,WT,WT,Mut,WT,WT,WT,WT,WT,mixed,WT,Mut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,WT,WT,WT,Mut,WT,WT,WT,WT,WT,mixed,WT,Mut,0,0,0,0,1,0,0,0,0,0,2,0,1,0000100000201,0000100000,0,0,0,0,1,0,0,0,0,0,0000100000,True
5,2A-A3,135.0,0.961512456028626,0,0,0.038487543971373,WT,0.961512456028626,1662.0,0.9650264718938659,0.001785173933488,0.004409384069844,0.028778970102801,WT,0.9650264718938659,1277.0,0.982331722158063,0.0015831532849172542,0.0025076860850828772,0.013577438471936959,WT,0.982331722158063,1109.0,0.001197224771937,0.9731141081858341,0.004222209151443001,0.021466457890785003,Mut,0.9731141081858341,975.0,0.9687786059522859,0.001894920037811,0.0009531879862789999,0.028373286023622997,WT,0.9687786059522859,1578.0,0.961718282821239,0.000551722158479,0.008573109943306999,0.029156885076973997,WT,0.961718282821239,2897.0,0.973154379029107,2.1328380499999997e-05,0.0029561547203950005,0.023868137869997003,WT,0.973154379029107,4383.0,0.9882165444099121,0,0,0.011783455590088998,WT,0.9882165444099121,2333.0,0.9802616429335486,0.0017727565861161145,0.002038248010743099,0.015927352469592156,WT,0.9802616429335486,267.0,0.9649820003802304,0.012499419579065595,0,0.022518580040703937,WT,0.9649820003802304,636.0,0.0,0.96009567104367,0,0.039904328956330004,Mut,0.96009567104367,2457.0,0.9855212937039021,0.0010052061095910001,0.0010443455462799999,0.012429154640228,WT,0.9855212937039021,2785.0,0.0,0.986122530986644,0.000286162132996,0.013591306880360001,Mut,0.986122530986644,9.922618282587337e-16,0.006194558003333076,0.004090839370000071,0.005419433923380894,0.0028481080240910714,0.009124832101787057,0.0029774831008960445,-1.132774429812855e-15,0.003811004596859284,0.012499419579065654,0.0,0.0020495516558699314,0.0002861621329959575,WT,WT,WT,Mut,WT,WT,WT,WT,WT,WT,Mut,WT,Mut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,WT,WT,Mut,WT,WT,WT,WT,WT,WT,Mut,WT,Mut,0,0,0,1,0,0,0,0,0,0,1,0,1,0001000000101,0001000000,0,0,0,1,0,0,0,0,0,0,0001000000,True
6,1A-A3,60.0,0.9667056868152967,0,0,0.03329431318470336,WT,0.9667056868152967,1459.0,0.9793719585838782,0.0007550951184443466,0.001319147624711968,0.018553798672965596,WT,0.9793719585838782,1117.0,0.9812977849415931,0.001669314719623,0.001636075680196,0.015396824658586002,WT,0.9812977849415931,1040.0,0.9735971491469791,0.0,0.0037831038015079996,0.022619747051512994,WT,0.9735971491469791,808.0,0.9813325757294001,0.0023491799441029996,0.0024866511610660003,0.013831593165431998,WT,0.9813325757294001,1572.0,0.959823267394673,0.0005628599485599999,0.006186440640326999,0.033427432016439995,WT,0.959823267394673,3755.0,0.979452998826686,0.00023141152322599999,0.000992221734505,0.019323367915582,WT,0.979452998826686,4538.0,0.9776410390937923,0,0,0.022358960906207884,WT,0.9776410390937923,2212.0,0.970767491799019,0.001959180747303683,0.0013233652769329206,0.025949962176744445,WT,0.970767491799019,254.0,0.9932217546639551,0.00552817059316,0,0.0012500747428839999,WT,0.9932217546639551,358.0,0.05537368830424518,0.9053337063166084,0,0.0392926053791466,Mut,0.9053337063166084,1635.0,0.9748104481471771,0.0006000753057815532,0.0036183280197157387,0.020971148527325383,WT,0.9748104481471771,2542.0,0.0,0.9809698869437758,0.00034512594116,0.018684987115064,Mut,0.9809698869437758,-3.469446951953614e-17,0.002074242743156249,0.0033053903998208553,0.0037831038015078595,0.004835831105167866,0.006749300588886953,0.0012236332577319833,-1.8041124150158794e-16,0.0032825460242365545,0.005528170593160875,0.055373688304245036,0.004218403325497517,0.0003451259411601515,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,mixed,WT,Mut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,mixed,WT,Mut,0,0,0,0,0,0,0,0,0,0,2,0,1,0000000000201,0000000000,0,0,0,0,0,0,0,0,0,0,0000000000,True
7,6E-A3,35.0,0.973529819539337,0,0,0.026470180460663,WT,0.973529819539337,1090.0,0.9674207779065811,0.001212396831529,0.0,0.03136682526189,WT,0.9674207779065811,1426.0,0.9761281846657379,0.0031017345048550905,0.0030684954654283413,0.017701585363978662,WT,0.9761281846657379,847.0,0.9772633014812641,0.0,0.002127749700432,0.020608948818304,WT,0.9772633014812641,536.0,0.007026968919034001,0.9775604447455959,0.0018054299524329998,0.013607156382936001,Mut,0.9775604447455959,947.0,0.9535806865842551,0.003478063901053653,0.010286288098461875,0.03265496141622942,WT,0.9535806865842551,3841.0,0.9821849694150079,0.0,0.001269561942991,0.016545468642002,WT,0.9821849694150079,3976.0,0.9817796010026637,0,0,0.018220398997336275,WT,0.9817796010026637,2273.0,0.9807328714287351,0.00029303077205199997,0.001250780310634,0.017723317488578,WT,0.9807328714287351,551.0,0.987538737479158,0.0014380691999414295,0,0.0110231933209007,WT,0.987538737479158,356.0,0.9806182056685129,0.0,0,0.019381794331487002,WT,0.9806182056685129,1476.0,0.9713272036128981,0.0007306661760834648,0.004271282371225296,0.0236708478397932,WT,0.9713272036128981,2432.0,0.0,0.9881657433416741,0.00037571767832699995,0.011458538979999,Mut,0.9881657433416741,-3.8163916471489756e-17,0.0012123968315289058,0.006170229970283419,0.0021277497004319433,0.008832398871468108,0.013764351999515478,0.001269561942990119,2.0816681711721685e-17,0.0015438110826868912,0.0014380691999413085,1.214306433183765e-16,0.005001948547308652,0.0003757176783269374,WT,WT,WT,WT,Mut,WT,WT,WT,WT,WT,WT,WT,Mut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,WT,WT,WT,Mut,WT,WT,WT,WT,WT,WT,WT,Mut,0,0,0,0,1,0,0,0,0,0,0,0,1,0000100000001,0000100000,0,0,0,0,1,0,0,0,0,0,0000100000,True
8,5E-A4,84.0,0.9649156836199361,0,0,0.03508431638006393,WT,0.9649156836199361,2230.0,0.9782882364386918,0,0.0011191326911512449,0.02059263087015688,WT,0.9782882364386918,2261.0,0.9832917648265079,0.001155812494641,0.001205712568165,0.014346710110687002,WT,0.9832917648265079,1443.0,0.980505654868496,0.0,0.002629857737953,0.016864487393552,WT,0.980505654868496,1416.0,0.985189961683627,0.00134944896659,0.0006365866276599999,0.012824002722123003,WT,0.985189961683627,2573.0,0.0013947564057459998,0.9760056916016121,0.006188103407164,0.016411448585478,Mut,0.9760056916016121,6481.0,0.9869642025903119,0.000127633007177,0.000878886981368,0.012029277421142,WT,0.9869642025903119,6133.0,0.989466200393222,0.0,0.000122208774096,0.010411590832683,WT,0.989466200393222,3645.0,0.9928808530375871,0.000306874062543,0.000328911955793,0.006483360944077,WT,0.9928808530375871,627.0,0.9915509769966164,0,0,0.008449023003383498,WT,0.9915509769966164,517.0,0.036940689882448745,0.9414769269539895,0,0.021582383163561668,Mut,0.9414769269539895,2930.0,0.9849309645770569,0.0002838066692741721,0.0013693883083924065,0.013415840445276607,WT,0.9849309645770569,2125.0,0.568473063161266,0.42309809650398417,0.0019634203764512252,0.00646541995829852,WT,0.568473063161266,0.0,0.001119132691151336,0.002361525062805068,0.002629857737952053,0.00198603559424995,0.0075828598129098965,0.0010065199885460775,0.0001222087740950263,0.000635786018335892,7.28583859910259e-17,0.036940689882448786,0.001653194977666526,0.4250615168804355,WT,WT,WT,WT,WT,Mut,WT,WT,WT,WT,mixed,WT,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,WT,WT,WT,WT,Mut,WT,WT,WT,WT,mixed,WT,mixed,0,0,0,0,0,1,0,0,0,0,2,0,2,0000010000202,0000010000,0,0,0,0,0,1,0,0,0,0,0000010000,True
9,7E-A4,163.0,0.9629134912192572,0,0,0.03708650878074267,WT,0.9629134912192572,3174.0,0.9797064694457182,0,0.0022093676959580887,0.01808416285832366,WT,0.9797064694457182,2264.0,0.9870012815916089,0.001190975218556,0.00124087529208,0.010566867897757001,WT,0.9870012815916089,2219.0,0.975887529328977,0.0,0.004026668751307,0.020085801919717,WT,0.975887529328977,2094.0,0.9839605048159908,0.0008649656724180001,0.000394344980573,0.014780184531019,WT,0.9839605048159908,2972.0,0.0011671065516790002,0.9778256730552479,0.004525772520919,0.016481447872156,Mut,0.9778256730552479,5337.0,0.001136434972983,0.985515453075646,0.0008140630045429999,0.012534048946827001,Mut,0.985515453075646,6883.0,0.985149953539085,0.0,0.00010123375834,0.014748812702577,WT,0.985149953539085,4316.0,0.9803350761930153,0.002072640508059479,0.0014625009844294516,0.016129782314495668,WT,0.9803350761930153,812.0,0.9782036967479799,0,0,0.021796303252019998,WT,0.9782036967479799,933.0,0.08747409808009053,0.9062283150630418,0,0.006297586856867553,Mut,0.9062283150630418,3689.0,0.985574313125151,0.000684870366914,0.0013150156134579998,0.012425800894476001,WT,0.985574313125151,4335.0,0.5005255248446511,0.4897163820766862,0.0006702515294750642,0.009087841549187584,WT,0.5005255248446511,1.5265566588595902e-16,0.002209367695958187,0.002431850510634062,0.0040266687513059556,0.0012593106529901563,0.005692879072596076,0.001950497977526968,0.00010123375833803391,0.0035351414924890343,9.020562075079397e-17,0.08747409808009064,0.0019998859803730187,0.49038663360616136,WT,WT,WT,WT,WT,Mut,Mut,WT,WT,WT,mixed,WT,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT,WT,WT,WT,WT,Mut,Mut,WT,WT,WT,mixed,WT,mixed,0,0,0,0,0,1,1,0,0,0,2,0,2,0000011000202,0000011000,0,0,0,0,0,1,1,0,0,0,0000011000,True
